Date,Platform,Post ID,Content,Likes,Comments,Shares,Impressions,Hashtags,Followers
2025-04-01,Instagram,IN6906,Post about product launch,182,22,24,4837,#marketing #promo,1174
2025-04-01,Instagram,IN2313,Post about weekly update,72,48,23,4460,#social #launch #marketing,1174
2025-04-01,Twitter,TW3752,Post about weekly update,157,32,29,4218,#tip #marketing #promo,1204
2025-04-01,Facebook,FA5909,Post about new features,175,23,26,3083,#promo #insight,1118
2025-04-02,Instagram,IN8077,Post about engagement tips,96,32,27,1388,#promo,1191
2025-04-02,Twitter,TW9401,Post about weekly update,196,38,7,3113,#product,1224
2025-04-02,Twitter,TW6048,Post about weekly update,85,47,19,3112,#launch #product #insight,1224
2025-04-02,Facebook,FA2205,Post about product launch,139,39,11,4029,#social #update #launch,1131
2025-04-03,Instagram,IN7505,Post about engagement tips,192,39,10,4156,#product #social #update,1209
2025-04-03,Instagram,IN6437,Post about new features,186,41,20,3390,#product #launch #insight,1209
2025-04-03,Instagram,IN2393,Post about new features,115,47,15,4060,#social,1209
2025-04-03,Twitter,TW7815,Post about new features,74,11,6,4889,#social #tip,1232
2025-04-03,Twitter,TW2654,Post about product launch,161,41,8,2022,#launch #update #marketing,1232
2025-04-03,Facebook,FA4010,Post about engagement tips,125,28,16,3210,#social,1148
2025-04-04,Instagram,IN3100,Post about product launch,76,34,17,4559,#product #promo #update,1220
2025-04-04,Instagram,IN6762,Post about product launch,157,23,17,1387,#marketing #product,1220
2025-04-04,Twitter,TW6284,Post about new features,98,25,20,1207,#promo #tip,1242
2025-04-04,Twitter,TW5672,Post about product launch,172,31,14,3250,#marketing #social #update,1242
2025-04-04,Twitter,TW5830,Post about product launch,95,39,24,2661,#insight #product #promo,1242
2025-04-04,Facebook,FA1455,Post about product launch,157,30,19,2901,#product #update #insight,1161
2025-04-04,Facebook,FA1533,Post about new features,182,26,14,1112,#update,1161
2025-04-04,Facebook,FA7490,Post about product launch,134,43,29,1957,#tip #promo,1161
2025-04-05,Instagram,IN5021,Post about weekly update,143,47,9,3219,#promo,1232
2025-04-05,Instagram,IN4020,Post about new features,69,29,10,2018,#promo,1232
2025-04-05,Instagram,IN6368,Post about engagement tips,191,18,23,3720,#social #tip,1232
2025-04-05,Twitter,TW5608,Post about engagement tips,62,28,13,3800,#tip #insight,1261
2025-04-05,Twitter,TW3036,Post about new features,93,40,5,1195,#tip,1261
2025-04-05,Twitter,TW2010,Post about weekly update,51,40,8,2712,#social,1261
2025-04-05,Facebook,FA1915,Post about engagement tips,177,29,26,1385,#marketing #update #launch,1167
2025-04-06,Instagram,IN9853,Post about weekly update,79,49,14,1601,#promo,1251
2025-04-06,Twitter,TW4584,Post about weekly update,64,35,26,2153,#update #product,1271
2025-04-06,Twitter,TW8372,Post about product launch,107,23,14,3469,#launch #tip,1271
2025-04-06,Twitter,TW8418,Post about weekly update,84,11,16,2005,#insight #update,1271
2025-04-06,Facebook,FA8298,Post about product launch,159,29,15,1600,#promo,1177
2025-04-06,Facebook,FA2970,Post about weekly update,152,31,25,2647,#promo #launch #marketing,1177
2025-04-06,Facebook,FA3889,Post about new features,63,38,27,2827,#social,1177
2025-04-07,Instagram,IN6592,Post about product launch,95,42,26,2493,#product #tip,1266
2025-04-07,Twitter,TW2813,Post about new features,198,25,12,3332,#promo #update,1280
2025-04-07,Twitter,TW2614,Post about weekly update,149,35,9,4292,#tip,1280
2025-04-07,Facebook,FA1012,Post about product launch,168,14,10,4054,#insight #marketing #launch,1197
2025-04-07,Facebook,FA7869,Post about weekly update,125,49,23,2451,#promo,1197
2025-04-07,Facebook,FA4747,Post about engagement tips,195,49,21,4903,#launch,1197
2025-04-08,Instagram,IN4600,Post about new features,108,26,7,1140,#tip #marketing,1273
2025-04-08,Twitter,TW9115,Post about new features,191,44,21,4544,#promo,1291
2025-04-08,Facebook,FA6395,Post about engagement tips,130,14,7,3259,#insight,1204
2025-04-09,Instagram,IN3295,Post about product launch,167,10,5,4868,#social,1289
2025-04-09,Twitter,TW6421,Post about new features,60,22,7,2767,#product #marketing,1305
2025-04-09,Twitter,TW5086,Post about weekly update,138,50,10,4414,#launch #tip,1305
2025-04-09,Facebook,FA9435,Post about engagement tips,53,22,13,3294,#product #insight,1220
2025-04-10,Instagram,IN5499,Post about new features,54,38,23,1806,#social,1309
2025-04-10,Instagram,IN2940,Post about product launch,126,49,25,3368,#social #product,1309
2025-04-10,Twitter,TW4742,Post about product launch,83,27,18,2716,#insight,1322
2025-04-10,Twitter,TW3662,Post about engagement tips,171,13,15,3346,#marketing #launch #insight,1322
2025-04-10,Facebook,FA4090,Post about new features,50,15,14,2574,#launch #update,1227
2025-04-11,Instagram,IN9244,Post about new features,72,11,28,1834,#social,1317
2025-04-11,Twitter,TW2953,Post about product launch,187,37,11,1719,#update #promo,1336
2025-04-11,Twitter,TW4438,Post about product launch,103,33,25,4403,#update,1336
2025-04-11,Twitter,TW1505,Post about weekly update,140,37,9,1353,#marketing #tip #social,1336
2025-04-11,Facebook,FA8917,Post about engagement tips,101,27,16,2481,#update #insight #marketing,1244
2025-04-12,Instagram,IN3328,Post about weekly update,189,10,28,4747,#update #marketing #social,1335
2025-04-12,Instagram,IN2471,Post about product launch,173,27,17,1641,#tip,1335
2025-04-12,Twitter,TW5690,Post about engagement tips,129,19,24,2410,#update #product #insight,1347
2025-04-12,Twitter,TW6734,Post about new features,164,36,20,3405,#tip #promo,1347
2025-04-12,Facebook,FA2397,Post about product launch,107,36,8,4034,#social #update #promo,1261
2025-04-12,Facebook,FA5701,Post about weekly update,188,49,30,2385,#social #launch #promo,1261
2025-04-13,Instagram,IN8379,Post about product launch,152,38,10,3954,#promo #insight #product,1344
2025-04-13,Twitter,TW5779,Post about weekly update,171,28,29,1142,#update,1352
2025-04-13,Twitter,TW2215,Post about new features,109,16,19,1594,#product #tip,1352
2025-04-13,Facebook,FA5463,Post about engagement tips,143,26,9,4667,#update #promo,1269
2025-04-13,Facebook,FA2524,Post about product launch,153,17,15,3786,#insight #update,1269
2025-04-14,Instagram,IN8252,Post about weekly update,95,21,21,4507,#insight #social #marketing,1349
2025-04-14,Instagram,IN7494,Post about weekly update,104,12,7,1636,#promo #tip,1349
2025-04-14,Instagram,IN4283,Post about new features,78,45,26,1300,#tip #promo #social,1349
2025-04-14,Twitter,TW8230,Post about new features,195,32,26,4778,#product,1372
2025-04-14,Twitter,TW1954,Post about new features,146,28,19,2837,#promo #social,1372
2025-04-14,Twitter,TW4216,Post about weekly update,68,17,12,2481,#product,1372
2025-04-14,Facebook,FA9877,Post about new features,184,50,12,2373,#insight #social #promo,1284
2025-04-14,Facebook,FA5647,Post about engagement tips,75,21,15,1696,#insight #product #update,1284
2025-04-15,Instagram,IN3510,Post about product launch,82,38,11,2440,#marketing #social,1365
2025-04-15,Instagram,IN5354,Post about new features,151,47,22,3781,#tip #launch #insight,1365
2025-04-15,Twitter,TW7812,Post about new features,149,11,12,3905,#marketing #promo #insight,1386
